TimePeriod,Geography,Estimated annual number (under age 18)
2017-2019,Kingsbridge - Riverdale,9.0
2017-2019,Northeast Bronx,37.0
2017-2019,Fordham - Bronx Pk,79.0
2017-2019,Pelham - Throgs Neck,58.0
2017-2019,Crotona -Tremont,74.0
2017-2019,High Bridge - Morrisania,84.0
2017-2019,Hunts Point - Mott Haven,60.0
2017-2019,Greenpoint,5.0
2017-2019,Downtown - Heights - Slope,22.0
2017-2019,Bedford Stuyvesant - Crown Heights,79.0
2017-2019,East New York,50.0
2017-2019,Sunset Park,10.0
2017-2019,Borough Park,15.0
2017-2019,East Flatbush - Flatbush,48.0
2017-2019,Canarsie - Flatlands,25.0
2017-2019,Bensonhurst - Bay Ridge,6.0
2017-2019,Coney Island - Sheepshead Bay,19.0
2017-2019,Williamsburg - Bushwick,49.0
2017-2019,Washington Heights,30.0
2017-2019,Central Harlem - Morningside Heights,50.0
2017-2019,East Harlem,38.0
2017-2019,Upper West Side,13.0
2017-2019,Upper East Side,5.0
2017-2019,Chelsea - Clinton,7.0
2017-2019,Gramercy Park - Murray Hill,4.0
2017-2019,Greenwich Village - SoHo,1.0
2017-2019,Union Square - Lower East Side,21.0
2017-2019,Lower Manhattan,3.0
2017-2019,Long Island City - Astoria,14.0
2017-2019,West Queens,49.0
2017-2019,Flushing - Clearview,11.0
2017-2019,Bayside - Little Neck,2.0
2017-2019,Ridgewood - Forest Hills,13.0
2017-2019,Fresh Meadows,8.0
2017-2019,Southwest Queens,25.0
2017-2019,Jamaica,41.0
2017-2019,Southeast Queens,15.0
2017-2019,Rockaways,16.0
2017-2019,Port Richmond,11.0
2017-2019,Stapleton - St. George,13.0
2017-2019,Willowbrook,3.0
2017-2019,South Beach - Tottenville,5.0
2017-2019,Bronx,403.0
2017-2019,Brooklyn,327.0
2017-2019,Manhattan,171.0
2017-2019,Queens,192.0
2017-2019,Staten Island,32.0
2017-2019,New York City,"1,125.0"
