TimePeriod,GeoType,Geography,Percent
2020,UHF34,Kingsbridge - Riverdale,93.8
2020,UHF34,Northeast Bronx,82.8
2020,UHF34,Fordham - Bronx Pk,77.7
2020,UHF34,Pelham - Throgs Neck,84.5
2020,UHF34,Greenpoint,84.4
2020,UHF34,Downtown - Heights - Slope,93.4
2020,UHF34,Bedford Stuyvesant - Crown Heights,90.6
2020,UHF34,East New York,87.6
2020,UHF34,Sunset Park,79.0 
2020,UHF34,Borough Park,89.7 
2020,UHF34,East Flatbush - Flatbush,86.9 
2020,UHF34,Canarsie - Flatlands,93.4 
2020,UHF34,Bensonhurst - Bay Ridge,89.7
2020,UHF34,Coney Island - Sheepshead Bay,88.7
2020,UHF34,Williamsburg - Bushwick,78.5
2020,UHF34,Washington Heights,87.9
2020,UHF34,Central Harlem - Morningside Heights,89.9 
2020,UHF34,East Harlem,85.9 
2020,UHF34,Upper West Side,97.3 
2020,UHF34,Long Island City - Astoria,82.6 
2020,UHF34,West Queens,70.3
2020,UHF34,Flushing - Clearview,88.0 
2020,UHF34,Ridgewood - Forest Hills,86.6
2020,UHF34,Southwest Queens,84.8
2020,UHF34,Jamaica,87.7
2020,UHF34,Southeast Queens,91.1 
2020,UHF34,Rockaways,84.0
2020,UHF34,Upper East Side-Gramercy,97.6
2020,UHF34,Chelsea-Village  ,97.0 
2020,UHF34,Union Square-Lower Manhattan,94.7
2020,UHF34,Bayside Little Neck-Fresh Meadows,90.7
2020,UHF34,Northern SI,84.9 
2020,UHF34,Southern SI,96.5
2020,UHF34,South Bronx,82.4
