TimePeriod,Geography,Percent
2013-2014,Financial District (CD1),4.0
2013-2014,Greenwich Village and Soho (CD2),6.0
2013-2014,Lower East Side and Chinatown (CD3),16.0
2013-2014,Clinton and Chelsea (CD4),13.0
2013-2014,Midtown (CD5),10.0
2013-2014,Stuyvesant Town and Turtle Bay (CD6),7.0
2013-2014,Upper West Side (CD7),13.0
2013-2014,Upper East Side (CD8),7.0
2013-2014,Morningside Heights and Hamilton Heights (CD9),27.0
2013-2014,Central Harlem (CD10),28.0
2013-2014,East Harlem (CD11),29.0
2013-2014,Washington Heights and Inwood (CD12),18.0
2013-2014,Mott Haven and Melrose (CD1),31.0
2013-2014,Hunts Point and Longwood (CD2),36.0
2013-2014,Morrisania and Crotona (CD3),32.0
2013-2014,Highbridge and Concourse (CD4),31.0
2013-2014,Fordham and University Heights (CD5),30.0
2013-2014,Belmont and East Tremont (CD6),37.0
2013-2014,Kingsbridge Heights and Bedford (CD7),29.0
2013-2014,Riverdale and Fieldston (CD8),19.0
2013-2014,Parkchester and Soundview (CD9),29.0
2013-2014,Throgs Neck and Co-op City (CD10),21.0
2013-2014,Morris Park and Bronxdale (CD11),22.0
2013-2014,Williamsbridge and Baychester (CD12),30.0
2013-2014,Greenpoint and Williamsburg (CD1),19.0
2013-2014,Fort Greene and Brooklyn Heights (CD2),20.0
2013-2014,Bedford Stuyvesant (CD3),31.0
2013-2014,Bushwick (CD4),22.0
2013-2014,East New York and Starrett City (CD5),30.0
2013-2014,Park Slope and Carroll Gardens (CD6),10.0
2013-2014,Sunset Park (CD7),9.0
2013-2014,Crown Heights and Prospect Heights (CD8),28.0
2013-2014,South Crown Heights and Lefferts Gardens (CD9),22.0
2013-2014,Bay Ridge and Dyker Heights (CD10),8.0
2013-2014,Bensonhurst (CD11),11.0
2013-2014,Borough Park (CD12),10.0
2013-2014,Coney Island (CD13),25.0
2013-2014,Flatbush and Midwood (CD14),17.0
2013-2014,Sheepshead Bay (CD15),14.0
2013-2014,Brownsville (CD16),40.0
2013-2014,East Flatbush (CD17),22.0
2013-2014,Flatlands and Canarsie (CD18),17.0
2013-2014,Long Island City and Astoria (CD1),16.0
2013-2014,Woodside and Sunnyside (CD2),9.0
2013-2014,Jackson Heights (CD3),11.0
2013-2014,Elmhurst and Corona (CD4),9.0
2013-2014,Ridgewood and Maspeth (CD5),15.0
2013-2014,Rego Park and Forest Hills (CD6),8.0
2013-2014,Flushing and Whitestone (CD7),8.0
2013-2014,Hillcrest and Fresh Meadows (CD8),14.0
2013-2014,Kew Gardens and Woodhaven (CD9),16.0
2013-2014,South Ozone Park and Howard Beach (CD10),16.0
2013-2014,Bayside and Little Neck (CD11),5.0
2013-2014,Jamaica and Hollis (CD12),22.0
2013-2014,Queens Village (CD13),15.0
2013-2014,Rockaway and Broad Channel (CD14),28.0
2013-2014,St. George and Stapleton (CD1),26.0
2013-2014,South Beach and Willowbrook (CD2),15.0
2013-2014,Tottenville and Great Kills (CD3),13.0
2013-2014,Bronx,18.0
2013-2014,Brooklyn,29.0
2013-2014,Manhattan,19.0
2013-2014,Queens,14.0
2013-2014,Staten Island,19.0
2013-2014,New York City,20.0
