TimePeriod,GeoType,Geography,Mean mcg/m3
Annual Average 2022,CD,Financial District (CD1),7.2
Annual Average 2022,CD,Greenwich Village and Soho (CD2),8.4
Annual Average 2022,CD,Lower East Side and Chinatown (CD3),7.2
Annual Average 2022,CD,Clinton and Chelsea (CD4),7.8
Annual Average 2022,CD,Midtown (CD5),9.1
Annual Average 2022,CD,Stuyvesant Town and Turtle Bay (CD6),7.5
Annual Average 2022,CD,Upper West Side (CD7),6.1
Annual Average 2022,CD,Upper East Side (CD8),6.4
Annual Average 2022,CD,Morningside Heights and Hamilton Heights (CD9),6.2
Annual Average 2022,CD,Central Harlem (CD10),6.2
Annual Average 2022,CD,East Harlem (CD11),6.2
Annual Average 2022,CD,Washington Heights and Inwood (CD12),6.3
Annual Average 2022,CD,Mott Haven and Melrose (CD1),6.1
Annual Average 2022,CD,Hunts Point and Longwood (CD2),6.5
Annual Average 2022,CD,Morrisania and Crotona (CD3),6.3
Annual Average 2022,CD,Highbridge and Concourse (CD4),6.0
Annual Average 2022,CD,Fordham and University Heights (CD5),6.1
Annual Average 2022,CD,Belmont and East Tremont (CD6),6.3
Annual Average 2022,CD,Kingsbridge Heights and Bedford (CD7),6.2
Annual Average 2022,CD,Riverdale and Fieldston (CD8),6.0
Annual Average 2022,CD,Parkchester and Soundview (CD9),6.1
Annual Average 2022,CD,Throgs Neck and Co-op City (CD10),6.0
Annual Average 2022,CD,Morris Park and Bronxdale (CD11),6.1
Annual Average 2022,CD,Williamsbridge and Baychester (CD12),6.0
Annual Average 2022,CD,Greenpoint and Williamsburg (CD1),6.5
Annual Average 2022,CD,Fort Greene and Brooklyn Heights (CD2),6.4
Annual Average 2022,CD,Bedford Stuyvesant (CD3),6.1
Annual Average 2022,CD,Bushwick (CD4),6.3
Annual Average 2022,CD,East New York and Starrett City (CD5),5.7
Annual Average 2022,CD,Park Slope and Carroll Gardens (CD6),6.4
Annual Average 2022,CD,Sunset Park (CD7),6.2
Annual Average 2022,CD,Crown Heights and Prospect Heights (CD8),6.1
Annual Average 2022,CD,South Crown Heights and Lefferts Gardens (CD9),5.7
Annual Average 2022,CD,Bay Ridge and Dyker Heights (CD10),5.7
Annual Average 2022,CD,Bensonhurst (CD11),5.5
Annual Average 2022,CD,Borough Park (CD12),5.7
Annual Average 2022,CD,Coney Island (CD13),5.4
Annual Average 2022,CD,Flatbush and Midwood (CD14),5.6
Annual Average 2022,CD,Sheepshead Bay (CD15),5.4
Annual Average 2022,CD,Brownsville (CD16),5.8
Annual Average 2022,CD,East Flatbush (CD17),5.7
Annual Average 2022,CD,Flatlands and Canarsie (CD18),5.3
Annual Average 2022,CD,Long Island City and Astoria (CD1),6.2
Annual Average 2022,CD,Woodside and Sunnyside (CD2),6.5
Annual Average 2022,CD,Jackson Heights (CD3),6.0
Annual Average 2022,CD,Elmhurst and Corona (CD4),6.1
Annual Average 2022,CD,Ridgewood and Maspeth (CD5),5.9
Annual Average 2022,CD,Rego Park and Forest Hills (CD6),5.7
Annual Average 2022,CD,Flushing and Whitestone (CD7),5.9
Annual Average 2022,CD,Hillcrest and Fresh Meadows (CD8),5.5
Annual Average 2022,CD,Kew Gardens and Woodhaven (CD9),5.8
Annual Average 2022,CD,South Ozone Park and Howard Beach (CD10),5.4
Annual Average 2022,CD,Bayside and Little Neck (CD11),5.6
Annual Average 2022,CD,Jamaica and Hollis (CD12),5.6
Annual Average 2022,CD,Queens Village (CD13),5.4
Annual Average 2022,CD,Rockaway and Broad Channel (CD14),5.0
Annual Average 2022,CD,St. George and Stapleton (CD1),5.4
Annual Average 2022,CD,South Beach and Willowbrook (CD2),5.2
Annual Average 2022,CD,Tottenville and Great Kills (CD3),5.0
Annual Average 2022,UHF42,Kingsbridge - Riverdale,6.0
Annual Average 2022,UHF42,Northeast Bronx,6.0
Annual Average 2022,UHF42,Fordham - Bronx Pk,6.1
Annual Average 2022,UHF42,Pelham - Throgs Neck,6.1
Annual Average 2022,UHF42,Crotona -Tremont,6.2
Annual Average 2022,UHF42,High Bridge - Morrisania,6.1
Annual Average 2022,UHF42,Hunts Point - Mott Haven,6.2
Annual Average 2022,UHF42,Greenpoint,6.5
Annual Average 2022,UHF42,Downtown - Heights - Slope,6.4
Annual Average 2022,UHF42,Bedford Stuyvesant - Crown Heights,5.9
Annual Average 2022,UHF42,East New York,5.7
Annual Average 2022,UHF42,Sunset Park,6.2
Annual Average 2022,UHF42,Borough Park,5.7
Annual Average 2022,UHF42,East Flatbush - Flatbush,5.6
Annual Average 2022,UHF42,Canarsie - Flatlands,5.4
Annual Average 2022,UHF42,Bensonhurst - Bay Ridge,5.6
Annual Average 2022,UHF42,Coney Island - Sheepshead Bay,5.4
Annual Average 2022,UHF42,Williamsburg - Bushwick,6.4
Annual Average 2022,UHF42,Washington Heights,6.3
Annual Average 2022,UHF42,Central Harlem - Morningside Heights,6.2
Annual Average 2022,UHF42,East Harlem,6.1
Annual Average 2022,UHF42,Upper West Side,6.1
Annual Average 2022,UHF42,Upper East Side,6.4
Annual Average 2022,UHF42,Chelsea - Clinton,8.4
Annual Average 2022,UHF42,Gramercy Park - Murray Hill,7.9
Annual Average 2022,UHF42,Greenwich Village - SoHo,8.0
Annual Average 2022,UHF42,Union Square - Lower East Side,7.5
Annual Average 2022,UHF42,Lower Manhattan,7.1
Annual Average 2022,UHF42,Long Island City - Astoria,6.4
Annual Average 2022,UHF42,West Queens,6.2
Annual Average 2022,UHF42,Flushing - Clearview,5.9
Annual Average 2022,UHF42,Bayside - Little Neck,5.6
Annual Average 2022,UHF42,Ridgewood - Forest Hills,5.8
Annual Average 2022,UHF42,Fresh Meadows,5.5
Annual Average 2022,UHF42,Southwest Queens,5.5
Annual Average 2022,UHF42,Jamaica,5.6
Annual Average 2022,UHF42,Southeast Queens,5.4
Annual Average 2022,UHF42,Rockaways,5.0
Annual Average 2022,UHF42,Port Richmond,5.5
Annual Average 2022,UHF42,Stapleton - St. George,5.3
Annual Average 2022,UHF42,Willowbrook,5.2
Annual Average 2022,UHF42,South Beach - Tottenville,5.0
Annual Average 2022,UHF34,Kingsbridge - Riverdale,6.0
Annual Average 2022,UHF34,Northeast Bronx,6.0
Annual Average 2022,UHF34,Fordham - Bronx Pk,6.1
Annual Average 2022,UHF34,Pelham - Throgs Neck,6.1
Annual Average 2022,UHF34,Greenpoint,6.5
Annual Average 2022,UHF34,Downtown - Heights - Slope,6.4
Annual Average 2022,UHF34,Bedford Stuyvesant - Crown Heights,5.9
Annual Average 2022,UHF34,East New York,5.7
Annual Average 2022,UHF34,Sunset Park,6.2
Annual Average 2022,UHF34,Borough Park,5.7
Annual Average 2022,UHF34,East Flatbush - Flatbush,5.6
Annual Average 2022,UHF34,Canarsie - Flatlands,5.4
Annual Average 2022,UHF34,Bensonhurst - Bay Ridge,5.6
Annual Average 2022,UHF34,Coney Island - Sheepshead Bay,5.4
Annual Average 2022,UHF34,Williamsburg - Bushwick,6.4
Annual Average 2022,UHF34,Washington Heights,6.3
Annual Average 2022,UHF34,Central Harlem - Morningside Heights,6.2
Annual Average 2022,UHF34,East Harlem,6.1
Annual Average 2022,UHF34,Upper West Side,6.1
Annual Average 2022,UHF34,Long Island City - Astoria,6.4
Annual Average 2022,UHF34,West Queens,6.2
Annual Average 2022,UHF34,Flushing - Clearview,5.9
Annual Average 2022,UHF34,Ridgewood - Forest Hills,5.8
Annual Average 2022,UHF34,Southwest Queens,5.5
Annual Average 2022,UHF34,Jamaica,5.6
Annual Average 2022,UHF34,Southeast Queens,5.4
Annual Average 2022,UHF34,Rockaways,5.0
Annual Average 2022,UHF34,Upper East Side-Gramercy,7.1
Annual Average 2022,UHF34,Chelsea-Village  ,8.3
Annual Average 2022,UHF34,Union Square-Lower Manhattan,7.3
Annual Average 2022,UHF34,Bayside Little Neck-Fresh Meadows,5.6
Annual Average 2022,UHF34,Northern SI,5.4
Annual Average 2022,UHF34,Southern SI,5.1
Annual Average 2022,UHF34,South Bronx,6.2
Annual Average 2022,Borough,Bronx,6.1
Annual Average 2022,Borough,Brooklyn,5.8
Annual Average 2022,Borough,Manhattan,7.0
Annual Average 2022,Borough,Queens,5.7
Annual Average 2022,Borough,Staten Island,5.2
