TimePeriod,GeoType,Geography,Hispanic alone (percent)
2017-21,UHF42,Kingsbridge - Riverdale,45.6
2017-21,UHF42,Northeast Bronx,27.7
2017-21,UHF42,Fordham - Bronx Pk,66.8
2017-21,UHF42,Pelham - Throgs Neck,53.3
2017-21,UHF42,Crotona -Tremont,67.0
2017-21,UHF42,High Bridge - Morrisania,61.0
2017-21,UHF42,Hunts Point - Mott Haven,69.8
2017-21,UHF42,Greenpoint,21.9
2017-21,UHF42,Downtown - Heights - Slope,14.8
2017-21,UHF42,Bedford Stuyvesant - Crown Heights,14.1
2017-21,UHF42,East New York,37.7
2017-21,UHF42,Sunset Park,41.9
2017-21,UHF42,Borough Park,13.0
2017-21,UHF42,East Flatbush - Flatbush,10.2
2017-21,UHF42,Canarsie - Flatlands,9.3
2017-21,UHF42,Bensonhurst - Bay Ridge,16.7
2017-21,UHF42,Coney Island - Sheepshead Bay,12.0
2017-21,UHF42,Williamsburg - Bushwick,39.6
2017-21,UHF42,Washington Heights,63.9
2017-21,UHF42,Central Harlem - Morningside Heights,25.3
2017-21,UHF42,East Harlem,45.2
2017-21,UHF42,Upper West Side,15.1
2017-21,UHF42,Upper East Side,9.1
2017-21,UHF42,Chelsea - Clinton,16.6
2017-21,UHF42,Gramercy Park - Murray Hill,10.1
2017-21,UHF42,Greenwich Village - SoHo,8.5
2017-21,UHF42,Union Square - Lower East Side,20.4
2017-21,UHF42,Lower Manhattan,8.7
2017-21,UHF42,Long Island City - Astoria,23.9
2017-21,UHF42,West Queens,51.6
2017-21,UHF42,Flushing - Clearview,17.9
2017-21,UHF42,Bayside - Little Neck,13.9
2017-21,UHF42,Ridgewood - Forest Hills,29.2
2017-21,UHF42,Fresh Meadows,17.8
2017-21,UHF42,Southwest Queens,33.9
2017-21,UHF42,Jamaica,17.2
2017-21,UHF42,Southeast Queens,14.3
2017-21,UHF42,Rockaways,23.3
2017-21,UHF42,Port Richmond,35.6
2017-21,UHF42,Stapleton - St. George,20.9
2017-21,UHF42,Willowbrook,15.1
2017-21,UHF42,South Beach - Tottenville,12.3
